K,placebo,mean_placebo_minus_real,median_placebo_minus_real,q05_placebo_minus_real,q95_placebo_minus_real,proportion_seeds_real_better,mean_share_months_real_better,mean_placebo_minus_direct
5,ObservedBrandAggregate,-2.850416041228718,-1.3669631267951659,-14.272609823760966,10.104405511663364,0.35,0.4970588235294118,-22.897354795226594
8,ObservedBrandAggregate,8.587078365257346,9.017601549020686,2.399726547668387,14.00895871924117,0.95,0.5411764705882354,-11.68889939136505
10,ObservedBrandAggregate,3.133505517330711,4.437808367140897,-4.1119184870098975,7.922823210430215,0.8,0.5117647058823529,-8.394087299758066
12,ObservedBrandAggregate,-3.0719842522386633,-3.2425296756590813,-6.2435980060147935,-0.32887384862281643,0.05,0.4421568627450981,-8.173890186389555
14,ObservedBrandAggregate,1.3959610827353304,1.5595366852095465,-1.8578704534065258,3.947869563805963,0.85,0.5107843137254902,-4.192184919263768
