replicate,K,placebo,placebo_minus_real_mae,placebo_minus_direct_mae,share_months_real_better,share_months_placebo_beats_direct
0,5,ObservedBrandAggregate,-0.776581386789089,-20.823520140786965,0.45098039215686275,0.5882352941176471
0,8,ObservedBrandAggregate,2.849315732752916,-17.42666202386948,0.47058823529411764,0.6470588235294118
0,10,ObservedBrandAggregate,5.510243274211154,-6.017349542877625,0.5490196078431373,0.5490196078431373
0,12,ObservedBrandAggregate,-2.3177677236440317,-7.419673657794923,0.49019607843137253,0.43137254901960786
0,14,ObservedBrandAggregate,0.3869707522428361,-5.201175249756261,0.5098039215686274,0.5882352941176471
1,5,ObservedBrandAggregate,-14.199415690305287,-34.24635444430316,0.5098039215686274,0.5882352941176471
1,8,ObservedBrandAggregate,8.841259421112905,-11.434718335509492,0.5686274509803921,0.6078431372549019
1,10,ObservedBrandAggregate,-4.006289122562448,-15.533881939651225,0.47058823529411764,0.5098039215686274
1,12,ObservedBrandAggregate,-1.3044775565778297,-6.40638349072872,0.43137254901960786,0.49019607843137253
1,14,ObservedBrandAggregate,-0.3069974913178857,-5.895143493316984,0.5882352941176471,0.47058823529411764
2,5,ObservedBrandAggregate,-7.991920186097481,-28.038858940095352,0.5490196078431373,0.5294117647058824
2,8,ObservedBrandAggregate,-6.142467968937673,-26.41844572556007,0.49019607843137253,0.6078431372549019
2,10,ObservedBrandAggregate,5.195969831984917,-6.331622985103861,0.5686274509803921,0.5294117647058824
2,12,ObservedBrandAggregate,-8.242213339473274,-13.344119273624168,0.4117647058823529,0.6078431372549019
2,14,ObservedBrandAggregate,2.7848658319283204,-2.8032801700707783,0.45098039215686275,0.49019607843137253
3,5,ObservedBrandAggregate,0.786954974754548,-19.25998377924333,0.39215686274509803,0.5490196078431373
3,8,ObservedBrandAggregate,6.054382733081061,-14.221595023541333,0.5686274509803921,0.6470588235294118
3,10,ObservedBrandAggregate,0.6554080971929187,-10.87218471989586,0.5882352941176471,0.6078431372549019
3,12,ObservedBrandAggregate,-0.4016857026234853,-5.503591636774375,0.49019607843137253,0.5490196078431373
3,14,ObservedBrandAggregate,1.4568957899436636,-4.131250212055434,0.5294117647058824,0.45098039215686275
4,5,ObservedBrandAggregate,-10.00982834828779,-30.056767102285672,0.5098039215686274,0.6078431372549019
4,8,ObservedBrandAggregate,9.193943676928468,-11.082034079693928,0.5882352941176471,0.5490196078431373
4,10,ObservedBrandAggregate,2.243330279351905,-9.284262537736872,0.5098039215686274,0.5490196078431373
4,12,ObservedBrandAggregate,-0.5982323388195294,-5.70013827297042,0.43137254901960786,0.49019607843137253
4,14,ObservedBrandAggregate,0.5769098480302328,-5.0112361539688655,0.5882352941176471,0.5098039215686274
5,5,ObservedBrandAggregate,0.7429292790508817,-19.304009474946994,0.47058823529411764,0.5098039215686274
5,8,ObservedBrandAggregate,6.940516254094719,-13.335461502527675,0.5490196078431373,0.6470588235294118
5,10,ObservedBrandAggregate,1.4328355668359591,-10.094757250252815,0.43137254901960786,0.5882352941176471
5,12,ObservedBrandAggregate,-4.055994016740621,-9.157899950891514,0.43137254901960786,0.5294117647058824
