replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
0,5,ObservedBrandAggregate,2022-01-01,431.6721209931892,476.90391065305414,579.139888371083
0,5,ObservedBrandAggregate,2022-02-01,638.9273336245258,635.2774077967547,476.6340170318217
0,5,ObservedBrandAggregate,2022-03-01,378.76576835169664,724.3672036033182,964.87390725089
0,5,ObservedBrandAggregate,2022-04-01,277.26886525545234,249.682501392589,243.50452984269077
0,5,ObservedBrandAggregate,2022-05-01,376.49331598130357,320.4313202995859,430.95039374163946
0,5,ObservedBrandAggregate,2022-06-01,620.3170270250323,409.352012911695,621.0860696195253
0,5,ObservedBrandAggregate,2022-07-01,328.39791220894097,421.35292991507976,305.5820230064298
0,5,ObservedBrandAggregate,2022-08-01,386.1185877777833,417.96580009681804,392.91153694197345
0,5,ObservedBrandAggregate,2022-09-01,324.0756354438885,439.3994001681298,537.8890577802711
0,5,ObservedBrandAggregate,2022-10-01,531.9298412583595,487.1151468098071,497.6238375038415
0,5,ObservedBrandAggregate,2022-11-01,1298.5656720025295,1251.6184356177605,1286.3740784563088
0,5,ObservedBrandAggregate,2022-12-01,2144.5099671023077,2271.694868746661,2531.83823636844
0,5,ObservedBrandAggregate,2023-01-01,1007.1659554327944,891.6856831562943,729.3784026300074
0,5,ObservedBrandAggregate,2023-02-01,553.5567842413604,300.90390204602573,473.36389584221797
0,5,ObservedBrandAggregate,2023-03-01,1732.8999606143902,1631.8326131436154,1599.0565601987075
0,5,ObservedBrandAggregate,2023-04-01,200.72805673076948,189.13254148365922,240.8562570074526
0,5,ObservedBrandAggregate,2023-05-01,388.60806316828314,357.7168507096675,435.14869294393475
0,5,ObservedBrandAggregate,2023-06-01,647.2492386627431,807.1495608300055,642.9147078609726
0,5,ObservedBrandAggregate,2023-07-01,306.700896957432,299.624075453011,219.07211388522455
0,5,ObservedBrandAggregate,2023-08-01,167.30257053285501,126.17381058437627,165.9126216098877
0,5,ObservedBrandAggregate,2023-09-01,548.8180591376009,399.16843882297866,496.47413948496467
0,5,ObservedBrandAggregate,2023-10-01,232.88518002696492,262.37306991725126,289.70680270685773
0,5,ObservedBrandAggregate,2023-11-01,332.6539397537667,347.55137612295493,445.3486641477715
0,5,ObservedBrandAggregate,2023-12-01,570.4545535591055,584.1620476265239,428.16242857877785
0,5,ObservedBrandAggregate,2024-01-01,414.941115153445,381.79259054255965,420.36984188387197
0,5,ObservedBrandAggregate,2024-02-01,201.69989612450206,262.9591032979598,174.6344998063825
0,5,ObservedBrandAggregate,2024-03-01,147.3976968576378,181.74533232368702,250.2184247950541
0,5,ObservedBrandAggregate,2024-04-01,454.5646558584099,457.96540740038006,469.79545987182183
0,5,ObservedBrandAggregate,2024-05-01,350.3359423361323,360.97344854962364,418.4290507480101
0,5,ObservedBrandAggregate,2024-06-01,1003.3566982237928,975.5915042708691,897.6661282609286
0,5,ObservedBrandAggregate,2024-07-01,256.9790809796071,321.5581085997532,261.1976724807667
0,5,ObservedBrandAggregate,2024-08-01,478.2728808085949,492.29079479204455,498.0299977936679
0,5,ObservedBrandAggregate,2024-09-01,626.5272573262279,595.1718914595573,577.34927885049
0,5,ObservedBrandAggregate,2024-10-01,254.03864756120046,269.72861924164715,271.61587930023853
0,5,ObservedBrandAggregate,2024-11-01,343.5484544105832,375.342893056751,354.30140675365016
0,5,ObservedBrandAggregate,2024-12-01,324.0257986838676,289.16885956588783,364.3291159639958
0,5,ObservedBrandAggregate,2025-01-01,537.8743915675283,511.0079823107641,577.521592430057
0,5,ObservedBrandAggregate,2025-02-01,302.0248806714093,255.92453096849417,371.6457028318754
0,5,ObservedBrandAggregate,2025-03-01,214.33374645891936,216.59309485559044,199.08783185146564
0,5,ObservedBrandAggregate,2025-04-01,323.3214842208772,341.7670084297524,306.7234932374254
0,5,ObservedBrandAggregate,2025-05-01,577.3159543552814,555.1429640901098,537.4124703276877
0,5,ObservedBrandAggregate,2025-06-01,849.5255288865952,836.732784569182,851.0027753357197
0,5,ObservedBrandAggregate,2025-07-01,310.7916889144135,226.94029834579925,246.90645478093657
0,5,ObservedBrandAggregate,2025-08-01,451.4758700696613,457.728013691707,442.8218789267047
0,5,ObservedBrandAggregate,2025-09-01,523.6890525248439,442.85904187279027,696.6188176521524
0,5,ObservedBrandAggregate,2025-10-01,453.99139264544874,454.5040098086489,461.15490711366
0,5,ObservedBrandAggregate,2025-11-01,1213.1595770328981,1206.2433326342834,1177.5910194946441
0,5,ObservedBrandAggregate,2025-12-01,1527.6116394211062,1503.429265296014,1761.0522438886856
0,5,ObservedBrandAggregate,2026-01-01,866.7547070218319,790.9958536364637,841.3716087709241
0,5,ObservedBrandAggregate,2026-02-01,494.0541713530539,842.3285399213144,546.0568498711824
0,5,ObservedBrandAggregate,2026-03-01,911.8197315609347,890.7714147063847,853.1838574920799
0,8,ObservedBrandAggregate,2022-01-01,394.04025774832036,398.5633497278739,426.78840220278636
0,8,ObservedBrandAggregate,2022-02-01,319.81710476293483,278.56163367918606,294.03242144519254
0,8,ObservedBrandAggregate,2022-03-01,550.4341992686751,535.9346904377261,710.6322136153665
0,8,ObservedBrandAggregate,2022-04-01,209.36263101500276,188.37269704884403,214.47323098139293
0,8,ObservedBrandAggregate,2022-05-01,259.56708866615844,253.56187553888063,272.6729977376987
0,8,ObservedBrandAggregate,2022-06-01,356.8913875357524,370.61967180705767,509.0640985202476
0,8,ObservedBrandAggregate,2022-07-01,279.52559952614547,292.07413473075184,246.95414129471632
0,8,ObservedBrandAggregate,2022-08-01,320.657036994625,326.82328190989614,357.61299594765376
0,8,ObservedBrandAggregate,2022-09-01,402.0660850963766,379.735942452792,400.34177163642494
0,8,ObservedBrandAggregate,2022-10-01,339.8777633645026,365.31210069739063,385.78729955486926
0,8,ObservedBrandAggregate,2022-11-01,816.2911364873013,888.250485324725,843.0826892800106
0,8,ObservedBrandAggregate,2022-12-01,1767.904556878199,1767.8048731965673,1905.9096616972645
0,8,ObservedBrandAggregate,2023-01-01,796.611144828077,734.0492198218554,648.5690482138932
