K,n_months,pooled_minus_direct_mae,relative_improvement_pct,share_months_pooled_better,ci_2_5,ci_97_5,probability_pooled_better
5,51,-20.046938753997882,3.4237412233255307,0.5294117647058824,-58.10834732802418,12.918557687609413,0.8672
8,51,-20.27597775662239,4.6698645062510575,0.5882352941176471,-40.17841106652222,-1.7748817229422231,0.9848
10,51,-11.527592817088772,2.9954450800655485,0.5882352941176471,-27.357148153675503,4.655437509632516,0.9219
12,51,-5.10190593415088,1.4888325873290933,0.5686274509803921,-14.273243094081081,3.297118903858386,0.8749
14,51,-5.5881460019991,1.8383773169334199,0.6666666666666666,-11.561738740964833,0.27153224044466306,0.9693
