K,Coverage_pct,MAE_improvement_ci_low,MAE_improvement_ci_high,probability_pooled_better
5,45.1147825445964,-12.918557687609413,58.10834732802418,0.8672
8,61.7349650801413,1.7748817229422231,40.17841106652222,0.9848
10,70.9726951343334,-4.655437509632516,27.357148153675503,0.9219
12,78.0591871647814,-3.297118903858386,14.27324309408108,0.8749
14,83.0193751402947,-0.271532240444663,11.561738740964833,0.9693
