K,Coverage_pct,DirectK_MAE,DirectK_Residual_MAE,MAE_improvement,relative_improvement_pct
5,45.1147825445964,585.5272769279563,565.4803381739583,20.046938753998006,3.4237412233255524
8,61.7349650801413,434.1877099320776,413.9117321754552,20.27597775662241,4.669864506251062
10,70.9726951343334,384.83739507707867,373.3098022599899,11.52759281708876,2.995445080065546
12,78.0591871647814,342.6782821367106,337.57637620255974,5.101905934150864,1.4888325873290889
14,83.0193751402947,303.9716575333204,298.3835115313213,5.588146001999121,1.838377316933427
