model,mae,rmse,smape
Pooled15,296.082832589559,573.9375804780736,0.4189696615356869
Direct14_SelectedTotalLags,302.0254053110446,603.8875837289067,0.4267608221089258
Direct14,303.0841382006397,595.258296775529,0.4248667599626098
Direct14_OtherAndSelectedLags,306.6377745898972,614.294252979714,0.4301282561446227
Direct14_OtherLags,310.0199206209794,615.4188898824178,0.4346461893137265
