replicate,K,placebo,date,real_mae,placebo_mae,direct_mae
0,5,ShuffledResidual,2025-06-01,849.5255288865952,891.4418515584669,851.0027753357197
0,5,ShuffledResidual,2025-07-01,310.7916889144135,253.7342076639393,246.90645478093657
0,5,ShuffledResidual,2025-08-01,451.4758700696613,358.47625654223685,442.8218789267047
0,5,ShuffledResidual,2025-09-01,523.6890525248439,543.715066499842,696.6188176521524
0,5,ShuffledResidual,2025-10-01,453.99139264544874,491.4330234523615,461.15490711366
0,5,ShuffledResidual,2025-11-01,1213.1595770328981,1207.0858522993904,1177.5910194946441
0,5,ShuffledResidual,2025-12-01,1527.6116394211062,1282.9728012782587,1761.0522438886856
0,5,ShuffledResidual,2026-01-01,866.7547070218319,1082.9325301767803,841.3716087709241
0,5,ShuffledResidual,2026-02-01,494.0541713530539,907.4999211668888,546.0568498711824
0,5,ShuffledResidual,2026-03-01,911.8197315609347,875.8286835227082,853.1838574920799
0,5,SyntheticResidual,2022-01-01,431.6721209931892,359.03927289070776,579.139888371083
0,5,SyntheticResidual,2022-02-01,638.9273336245258,590.750020090249,476.6340170318217
0,5,SyntheticResidual,2022-03-01,378.76576835169664,364.867301570743,964.87390725089
0,5,SyntheticResidual,2022-04-01,277.26886525545234,275.98783342059426,243.50452984269077
0,5,SyntheticResidual,2022-05-01,376.49331598130357,389.3098053363251,430.95039374163946
0,5,SyntheticResidual,2022-06-01,620.3170270250323,528.8447987011641,621.0860696195253
0,5,SyntheticResidual,2022-07-01,328.39791220894097,339.74291485025293,305.5820230064298
0,5,SyntheticResidual,2022-08-01,386.1185877777833,419.02322620499655,392.91153694197345
0,5,SyntheticResidual,2022-09-01,324.0756354438885,221.39894974634822,537.8890577802711
0,5,SyntheticResidual,2022-10-01,531.9298412583595,525.0815945781741,497.6238375038415
0,5,SyntheticResidual,2022-11-01,1298.5656720025295,1236.2240193249218,1286.3740784563088
0,5,SyntheticResidual,2022-12-01,2144.5099671023077,2256.1569085201527,2531.83823636844
