replicate,K,placebo,placebo_minus_real_mae,placebo_minus_direct_mae,share_months_real_better,share_months_placebo_beats_direct
0,5,ShuffledResidual,3.0257436581721433,-17.021195095825732,0.5098039215686274,0.47058823529411764
0,5,SyntheticResidual,-20.945785497670858,-40.992724251668726,0.45098039215686275,0.6078431372549019
0,8,ShuffledResidual,12.550097440626866,-7.725880315995531,0.5882352941176471,0.5686274509803921
0,8,SyntheticResidual,17.85700575182107,-2.418972004801326,0.6470588235294118,0.49019607843137253
0,10,ShuffledResidual,-2.910168686629206,-14.437761503717985,0.45098039215686275,0.5882352941176471
0,10,SyntheticResidual,13.766967693105157,2.2393748760163805,0.5098039215686274,0.5882352941176471
0,12,ShuffledResidual,-0.6529552400014712,-5.754861174152361,0.5098039215686274,0.5490196078431373
0,12,SyntheticResidual,3.1182035059678417,-1.983702428183049,0.49019607843137253,0.5098039215686274
0,14,ShuffledResidual,6.225535724706569,0.6373897227074728,0.5882352941176471,0.4117647058823529
0,14,SyntheticResidual,8.72539714709353,3.1372511450944316,0.5882352941176471,0.5490196078431373
1,5,ShuffledResidual,5.014942879134156,-15.031995874863721,0.49019607843137253,0.49019607843137253
1,5,SyntheticResidual,8.57768105550625,-11.469257698491623,0.5882352941176471,0.5098039215686274
1,8,ShuffledResidual,7.989247403097576,-12.286730353524815,0.5098039215686274,0.6078431372549019
1,8,SyntheticResidual,19.93996823741345,-0.33600951920894484,0.5882352941176471,0.5490196078431373
1,10,ShuffledResidual,7.94274189548202,-3.5848509216067588,0.5294117647058824,0.49019607843137253
1,10,SyntheticResidual,12.55842861851258,1.0308358014238006,0.5686274509803921,0.5490196078431373
1,12,ShuffledResidual,0.6798765124274826,-4.422029421723409,0.5294117647058824,0.47058823529411764
1,12,SyntheticResidual,3.0616545903114734,-2.040251343839417,0.5098039215686274,0.49019607843137253
1,14,ShuffledResidual,2.891531169833638,-2.6966148321654595,0.5686274509803921,0.6078431372549019
1,14,SyntheticResidual,5.654102406834565,0.06595640483546747,0.6078431372549019,0.5098039215686274
2,5,ShuffledResidual,-7.107877689803465,-27.154816443801337,0.39215686274509803,0.5882352941176471
2,5,SyntheticResidual,14.913764884576299,-5.1331738694215785,0.5294117647058824,0.5098039215686274
2,8,ShuffledResidual,14.097062741651099,-6.178915014971297,0.47058823529411764,0.6470588235294118
2,8,SyntheticResidual,14.73277080025068,-5.543206956371715,0.5882352941176471,0.5490196078431373
2,10,ShuffledResidual,7.076980223025776,-4.450612594063,0.5490196078431373,0.5686274509803921
2,10,SyntheticResidual,1.4045956139554394,-10.122997203133341,0.49019607843137253,0.5294117647058824
2,12,ShuffledResidual,-0.040459985331736725,-5.142365919482627,0.49019607843137253,0.5686274509803921
2,12,SyntheticResidual,2.2271315005647976,-2.874774433586093,0.49019607843137253,0.5882352941176471
2,14,ShuffledResidual,5.908701971827096,0.3205559698279983,0.5686274509803921,0.5098039215686274
2,14,SyntheticResidual,1.3090761977711558,-4.279069804227942,0.5098039215686274,0.6078431372549019
